exp_num,client_num,xact_num,exec_time,throughput,avg_latency,median_latency,95th_latency,99th_latency
1,1,12726,1511.94,8.42,118.79,84.14,196.42,487.44
1,2,11839,1444.13,8.2,121.96,82.47,185.65,614.39
1,3,13534,1582.92,8.55,116.94,84.22,188.27,477.05
1,4,14085,2327.56,6.05,165.23,114.9,418.46,611.65
1,5,24011,2076.82,11.56,86.47,71.35,157.39,309.25
1,6,9220,897.93,10.27,97.37,80.82,187.79,533.07
1,7,8539,811.87,10.52,95.06,73.1,186.74,604.55
1,8,4416,500.04,8.83,113.21,72.08,472.53,794.39
1,9,25750,2510.97,10.26,97.49,74.24,316.88,585.14
1,10,18000,2166.38,8.31,120.33,95.47,267.27,457.23
1,11,18133,1724.2,10.52,95.07,73.6,271.36,497.84
1,12,8612,723.54,11.9,84.0,67.38,164.44,492.62
1,13,28802,2527.39,11.4,87.73,67.57,185.38,414.12
1,14,9677,1660.35,5.83,171.55,93.01,527.77,710.32
1,15,27130,2637.05,10.29,97.18,62.73,337.83,560.01
1,16,18045,1497.98,12.05,83.0,66.3,162.97,355.09
1,17,26080,1983.57,13.15,76.03,57.16,151.74,372.43
1,18,24846,1585.43,15.67,63.79,49.11,174.28,383.12
1,19,22335,4566.26,4.89,204.42,71.74,1029.4,1345.03
1,20,11236,1355.32,8.29,120.59,79.37,332.75,428.59
2,1,12726,1475.64,8.62,115.94,93.66,210.38,708.98
2,2,11839,1421.89,8.33,120.08,94.51,215.5,779.23
2,3,13534,1585.91,8.53,117.16,94.03,209.1,617.21
2,4,14085,2598.99,5.42,184.5,120.24,612.68,933.74
2,5,24011,1796.55,13.37,74.8,62.32,142.89,290.02
2,6,9220,890.87,10.35,96.6,79.59,185.44,632.75
2,7,8539,835.53,10.22,97.83,76.77,194.29,676.12
2,8,4416,570.16,7.75,129.09,80.88,648.36,931.53
2,9,25750,2816.43,9.14,109.36,85.62,366.66,568.91
2,10,18000,2621.61,6.87,145.62,114.14,362.33,513.53
2,11,18133,1930.11,9.39,106.42,84.28,339.81,542.39
2,12,8612,831.42,10.36,96.52,81.82,180.12,548.33
2,13,28798,3063.66,9.4,106.36,81.67,284.99,513.85
2,14,9672,1552.8,6.23,160.5,89.66,574.28,730.58
2,15,27106,2653.27,10.22,97.85,60.36,405.28,633.72
2,16,18045,1604.55,11.25,88.9,78.21,183.96,330.44
2,17,26077,2494.53,10.45,95.63,77.23,200.96,530.06
2,18,24827,2169.27,11.44,87.34,69.64,223.25,526.92
2,19,22326,3885.41,5.75,174.0,91.15,678.22,883.32
2,20,11242,2467.22,4.56,219.44,127.54,577.55,705.74
3,1,12726,1602.91,7.94,125.94,96.07,228.64,573.87
3,2,11839,1512.95,7.83,127.77,97.7,225.55,658.81
3,3,13534,1759.39,7.69,129.98,94.78,217.59,542.75
3,4,14085,2746.41,5.13,194.96,128.99,534.58,717.97
3,5,24011,2229.16,10.77,92.82,73.04,165.06,337.38
3,6,9220,1033.52,8.92,112.08,90.7,218.44,591.8
3,7,8539,960.47,8.89,112.46,88.01,216.05,647.22
3,8,4416,589.63,7.49,133.5,86.22,551.18,879.29
3,9,25748,2682.23,9.6,104.15,77.29,363.05,591.04
3,10,17997,2176.33,8.27,120.9,106.12,278.01,425.73
3,11,18132,1966.17,9.22,108.41,81.6,327.94,600.45
3,12,8611,847.61,10.16,98.41,80.01,190.86,544.36
3,13,28800,3240.78,8.89,112.51,85.41,218.19,446.98
3,14,9677,1843.04,5.25,190.43,112.3,612.72,848.03
3,15,27130,2915.62,9.31,107.44,72.78,393.71,667.38
3,16,18045,1664.29,10.84,92.21,75.0,179.75,350.6
3,17,26066,2623.3,9.94,100.6,67.45,196.35,518.93
3,18,24830,2148.74,11.56,86.49,62.7,236.66,513.78
3,19,22324,5678.82,3.93,254.35,88.88,1223.83,1836.19
3,20,11242,2260.08,4.97,201.02,144.39,476.57,661.19
3,21,26425,4084.75,6.47,154.56,90.14,347.51,1313.96
3,22,27307,2640.59,10.34,96.68,79.18,234.58,445.02
3,23,11531,2457.96,4.69,213.14,112.52,629.82,925.23
3,24,19271,2633.46,7.32,136.63,84.44,485.78,698.51
3,25,26294,2759.09,9.53,100.35,79.9,181.22,469.81
3,26,27263,3109.12,8.77,114.02,91.17,341.73,520.04
3,27,18465,2129.91,8.67,115.33,84.27,422.1,642.08
3,28,9169,1062.75,8.63,115.89,90.47,216.26,641.09
3,29,20733,2055.61,10.09,99.13,84.49,187.33,480.51
3,30,17704,2005.33,8.83,113.25,89.3,268.75,469.35
3,31,11642,2797.48,4.16,240.27,83.3,1190.78,1613.58
3,32,9788,1834.3,5.34,187.38,105.06,506.7,662.77
3,33,17982,1604.12,11.21,89.19,70.06,152.99,280.93
3,34,9958,928.07,10.73,93.18,71.3,201.68,583.13
3,35,11318,1267.97,8.93,112.01,78.16,396.95,563.78
3,36,16160,2078.66,7.77,128.61,77.38,352.92,501.64
3,37,21714,2010.38,10.8,92.56,76.14,151.57,302.85
3,38,18460,1965.0,9.39,106.43,75.67,285.32,516.24
3,39,10825,1361.66,7.95,125.77,92.25,387.64,636.62
3,40,7991,1449.53,5.51,181.37,110.92,458.67,693.17
4,1,12726,1781.16,7.14,139.94,112.18,256.54,756.08
4,2,11839,1754.23,6.75,148.15,118.87,259.96,888.27
4,3,13534,1904.82,7.11,140.72,109.48,243.56,741.92
4,4,14085,3053.08,4.61,216.74,126.53,751.05,1061.46
4,5,24011,2182.02,11.0,90.86,75.39,166.1,339.57
4,6,9220,1081.9,8.52,117.32,98.2,224.46,716.02
4,7,8539,1032.31,8.27,120.87,96.87,234.89,781.53
4,8,4416,653.34,6.76,147.93,98.06,689.69,984.27
4,9,25748,3065.35,8.4,119.02,82.6,438.73,737.85
4,10,17981,2516.36,7.15,139.91,108.37,412.85,613.78
4,11,18133,2340.67,7.75,129.06,97.82,412.56,753.05
4,12,8612,1008.29,8.54,117.06,98.28,226.12,660.71
4,13,28798,3372.48,8.54,117.08,89.93,239.86,548.63
4,14,9668,1753.46,5.51,181.3,104.74,671.46,888.6
4,15,27099,3110.29,8.71,114.74,68.65,469.75,763.98
4,16,18045,1933.56,9.33,107.13,90.5,209.02,540.9
4,17,26073,2915.9,8.94,111.8,80.81,233.3,650.41
4,18,24840,2398.96,10.35,96.55,73.43,242.14,642.92
4,19,22327,4353.52,5.13,194.96,96.34,802.27,1108.57
4,20,11242,2720.58,4.13,241.98,136.98,667.23,857.19
4,21,26425,4026.97,6.56,152.37,102.3,420.75,987.03
4,22,27300,3550.57,7.69,130.01,111.71,312.0,598.78
4,23,11531,3113.04,3.7,269.95,134.89,851.24,1090.84
4,24,19270,3540.77,5.44,183.72,110.22,731.84,1005.99
4,25,26295,2988.82,8.8,113.64,96.87,194.45,606.21
4,26,27263,3668.98,7.43,134.56,102.37,402.19,798.63
4,27,18466,2680.2,6.89,145.12,106.34,570.69,860.35
4,28,9169,1135.02,8.08,123.77,97.5,228.16,808.88
4,29,20733,2419.43,8.57,116.67,104.39,219.02,553.56
4,30,17703,2543.98,6.96,143.68,107.28,426.15,672.56
4,31,11642,2389.39,4.87,205.22,103.67,852.8,1024.87
4,32,9787,2431.47,4.03,248.4,136.13,689.83,852.14
4,33,17982,1978.44,9.09,110.0,91.13,198.58,379.83
4,34,9958,1127.34,8.83,113.19,93.44,239.3,694.35
4,35,11318,1643.15,6.89,145.16,98.43,572.5,807.5
4,36,16160,2506.75,6.45,155.1,82.3,542.04,749.28
4,37,21714,2364.67,9.18,108.88,91.61,199.14,311.63
4,38,18457,2293.23,8.05,124.21,93.53,276.92,688.62
4,39,10823,1565.18,6.91,144.59,109.02,491.07,799.98
4,40,7987,1916.66,4.17,239.92,130.62,651.7,835.76
